teams,home_points,away_points,league
Real Madrid,24,27,data_spanish_2014
Barcelona,27,23,data_spanish_2014
Atletico Madrid,28,19,data_spanish_2014
Seville,27,15,data_spanish_2014
Valencia,28,13,data_spanish_2014
Villarreal,21,17,data_spanish_2014
Malaga,18,14,data_spanish_2014
Eibar,12,15,data_spanish_2014
Espanyol,21,5,data_spanish_2014
Celta Vigo,15,9,data_spanish_2014
Rayo Vallecano,7,16,data_spanish_2014
Athletic Bilbao,12,11,data_spanish_2014
Real Sociedad,17,5,data_spanish_2014
Deportivo La Coruna,12,9,data_spanish_2014
Getafe,12,8,data_spanish_2014
Almeria,6,13,data_spanish_2014
Cordoba,9,9,data_spanish_2014
Granada,11,7,data_spanish_2014
Elche,9,8,data_spanish_2014
Levante,9,7,data_spanish_2014
Atletico Madrid,49,41,data_spanish_2013
Barcelona,50,37,data_spanish_2013
Real Madrid,49,38,data_spanish_2013
Athletic Bilbao,43,27,data_spanish_2013
Seville,37,26,data_spanish_2013
Villarreal,33,26,data_spanish_2013
Real Sociedad,37,22,data_spanish_2013
Valencia,33,16,data_spanish_2013
Celta Vigo,25,24,data_spanish_2013
Levante,27,21,data_spanish_2013
Malaga,26,19,data_spanish_2013
Rayo Vallecano,24,19,data_spanish_2013
Getafe,24,18,data_spanish_2013
Espanyol,26,16,data_spanish_2013
Granada,22,19,data_spanish_2013
Elche,26,14,data_spanish_2013
Almeria,24,16,data_spanish_2013
Osasuna,23,16,data_spanish_2013
Real Valladolid,27,9,data_spanish_2013
Real Betis,18,7,data_spanish_2013
Barcelona,55,45,data_spanish_2012
Real Madrid,53,32,data_spanish_2012
Atletico Madrid,44,32,data_spanish_2012
Real Sociedad,37,29,data_spanish_2012
Valencia,42,23,data_spanish_2012
Malaga,35,22,data_spanish_2012
Real Betis,32,24,data_spanish_2012
Rayo Vallecano,30,23,data_spanish_2012
Seville,40,10,data_spanish_2012
Getafe,31,16,data_spanish_2012
Levante,28,18,data_spanish_2012
Athletic Bilbao,27,18,data_spanish_2012
Espanyol,25,19,data_spanish_2012
Real Valladolid,27,16,data_spanish_2012
Granada,24,18,data_spanish_2012
Osasuna,26,13,data_spanish_2012
Celta Vigo,27,10,data_spanish_2012
Mallorca,26,10,data_spanish_2012
Deportivo La Coruna,23,12,data_spanish_2012
Real Zaragoza,19,15,data_spanish_2012
Chelsea,31,22,data_english_2014
Manchester City,23,25,data_english_2014
Manchester United,28,15,data_english_2014
Southampton,23,19,data_english_2014
Arsenal,24,18,data_english_2014
Tottenham Hotspur,20,20,data_english_2014
Liverpool,20,18,data_english_2014
West Ham United,23,13,data_english_2014
Swansea City,21,12,data_english_2014
Stoke City,17,15,data_english_2014
Newcastle United,18,12,data_english_2014
Everton,14,12,data_english_2014
Crystal Palace,11,12,data_english_2014
Sunderland,12,11,data_english_2014
West Bromwich Albion,12,10,data_english_2014
Aston Villa,11,11,data_english_2014
Burnley,13,7,data_english_2014
Hull City,9,10,data_english_2014
Queens Park Rangers,19,0,data_english_2014
Leicester City,10,7,data_english_2014
Manchester City,52,34,data_english_2013
Liverpool,49,35,data_english_2013
Chelsea,48,34,data_english_2013
Arsenal,44,35,data_english_2013
Everton,42,30,data_english_2013
Tottenham Hotspur,36,33,data_english_2013
Manchester United,30,34,data_english_2013
Southampton,30,26,data_english_2013
Stoke City,36,14,data_english_2013
Newcastle United,27,22,data_english_2013
Crystal Palace,27,18,data_english_2013
Swansea City,23,19,data_english_2013
West Ham United,24,16,data_english_2013
Sunderland,18,20,data_english_2013
Aston Villa,21,17,data_english_2013
Hull City,25,12,data_english_2013
West Bromwich Albion,21,15,data_english_2013
Norwich City,24,9,data_english_2013
Fulham,18,14,data_english_2013
Cardiff City,20,10,data_english_2013
Manchester United,48,41,data_english_2012
Manchester City,45,33,data_english_2012
Chelsea,41,34,data_english_2012
Arsenal,38,35,data_english_2012
Tottenham Hotspur,38,34,data_english_2012
Everton,42,21,data_english_2012
Liverpool,33,28,data_english_2012
West Bromwich Albion,31,18,data_english_2012
Swansea City,26,20,data_english_2012
West Ham United,33,13,data_english_2012
Norwich City,31,13,data_english_2012
Fulham,24,19,data_english_2012
Stoke City,28,14,data_english_2012
Southampton,25,16,data_english_2012
Aston Villa,20,21,data_english_2012
Newcastle United,28,13,data_english_2012
Sunderland,23,16,data_english_2012
Wigan Athletic,18,18,data_english_2012
Reading,20,8,data_english_2012
Queens Park Rangers,14,11,data_english_2012
Bayern Munich,27,18,data_german_2014
VfL Wolfsburg,26,11,data_german_2014
Borussia Monch'bach,18,12,data_german_2014
Schalke 04,21,9,data_german_2014
Augsburg,21,9,data_german_2014
Bayer Leverkusen,18,11,data_german_2014
TSG Hoffenheim,17,9,data_german_2014
Hannover 96,15,9,data_german_2014
Eintracht Frankfurt,14,9,data_german_2014
FC Cologne,6,16,data_german_2014
Mainz,13,8,data_german_2014
Werder Bremen,15,5,data_german_2014
Paderborn 07,13,6,data_german_2014
SC Freiburg,11,7,data_german_2014
Hertha BSC Berlin,13,5,data_german_2014
SV Hamburg,11,6,data_german_2014
VfB Stuttgart,5,12,data_german_2014
Borussia Dortmund,11,5,data_german_2014
Bayern Munich,46,44,data_german_2013
Borussia Dortmund,35,36,data_german_2013
Schalke 04,38,26,data_german_2013
Bayer Leverkusen,33,28,data_german_2013
VfL Wolfsburg,36,24,data_german_2013
Borussia Monch'bach,36,19,data_german_2013
Mainz,33,20,data_german_2013
Augsburg,30,22,data_german_2013
TSG Hoffenheim,27,17,data_german_2013
Hannover 96,29,13,data_german_2013
Hertha BSC Berlin,21,20,data_german_2013
Werder Bremen,24,15,data_german_2013
Eintracht Frankfurt,20,16,data_german_2013
SC Freiburg,22,14,data_german_2013
VfB Stuttgart,19,13,data_german_2013
SV Hamburg,18,9,data_german_2013
Nuremberg,14,12,data_german_2013
Eintracht Braunschwg,18,7,data_german_2013
Bayern Munich,44,47,data_german_2012
Borussia Dortmund,33,33,data_german_2012
Bayer Leverkusen,39,26,data_german_2012
Schalke 04,33,22,data_german_2012
SC Freiburg,28,23,data_german_2012
Eintracht Frankfurt,31,20,data_german_2012
SV Hamburg,26,22,data_german_2012
Borussia Monch'bach,29,18,data_german_2012
Hannover 96,32,13,data_german_2012
Nuremberg,27,17,data_german_2012
VfL Wolfsburg,17,26,data_german_2012
VfB Stuttgart,19,24,data_german_2012
Mainz,26,16,data_german_2012
Werder Bremen,20,14,data_german_2012
Augsburg,20,13,data_german_2012
TSG Hoffenheim,19,12,data_german_2012
Fortuna Dusseldorf,21,9,data_german_2012
Greuther Furth,4,17,data_german_2012
